document_id,title,category,department,version,status,effective_date,review_date,owner,supersedes,precedence_level,pack_folder,is_adversarial,pdf_file,docx_file,markdown_file
PRC-01,New Joiner Process Manual,Process Manual,Human Resources,1.0,Active,2026-01-05,2026-12-31,Head of Human Resources,None,6,active,No,documents/active/pdf/PRC-01_v1.0_New_Joiner_Process_Manual.pdf,documents/active/docx/PRC-01_v1.0_New_Joiner_Process_Manual.docx,markdown_source/active/PRC-01_v1.0_New_Joiner_Process_Manual.md
RD-01,Role Descriptions,Role Description,Human Resources,1.0,Active,2025-12-01,2026-11-30,Head of Human Resources,None,5,active,No,documents/active/pdf/RD-01_v1.0_Role_Descriptions.pdf,documents/active/docx/RD-01_v1.0_Role_Descriptions.docx,markdown_source/active/RD-01_v1.0_Role_Descriptions.md
SOP-01,Customer Complaint Handling Procedure,SOP,Customer Service,1.0,Active,2025-05-01,2026-12-31,Head of Customer Service,None,3,active,No,documents/active/pdf/SOP-01_v1.0_Customer_Complaint_Handling_Procedure.pdf,documents/active/docx/SOP-01_v1.0_Customer_Complaint_Handling_Procedure.docx,markdown_source/active/SOP-01_v1.0_Customer_Complaint_Handling_Procedure.md
SOP-02,Escalation Procedure,SOP,Operations,2.0,Active,2026-06-15,2027-06-14,Head of Operations,SOP-02 v1.0,3,active,No,documents/active/pdf/SOP-02_v2.0_Escalation_Procedure.pdf,documents/active/docx/SOP-02_v2.0_Escalation_Procedure.docx,markdown_source/active/SOP-02_v2.0_Escalation_Procedure.md
SOP-03,Account Opening and KYC Procedure,SOP,Retail Banking,2.0,Active,2026-02-15,2027-02-14,Head of Retail Banking,SOP-03 v1.0,3,active,No,documents/active/pdf/SOP-03_v2.0_Account_Opening_and_KYC_Procedure.pdf,documents/active/docx/SOP-03_v2.0_Account_Opening_and_KYC_Procedure.docx,markdown_source/active/SOP-03_v2.0_Account_Opening_and_KYC_Procedure.md
SOP-04,Cash Handling and Vault Procedure,SOP,Operations,2.0,Active,2026-04-15,2027-04-14,Head of Operations,SOP-04 v1.0,3,active,No,documents/active/pdf/SOP-04_v2.0_Cash_Handling_and_Vault_Procedure.pdf,documents/active/docx/SOP-04_v2.0_Cash_Handling_and_Vault_Procedure.docx,markdown_source/active/SOP-04_v2.0_Cash_Handling_and_Vault_Procedure.md
SOP-05,IT Incident and Access Request Procedure,SOP,Information Technology,2.0,Active,2026-05-15,2027-05-14,Head of IT,SOP-05 v1.0,3,active,No,documents/active/pdf/SOP-05_v2.0_IT_Incident_and_Access_Request_Procedure.pdf,documents/active/docx/SOP-05_v2.0_IT_Incident_and_Access_Request_Procedure.docx,markdown_source/active/SOP-05_v2.0_IT_Incident_and_Access_Request_Procedure.md
SOP-06,Expense and Payment Processing Procedure,SOP,Finance,1.0,Active,2025-08-01,2027-07-31,Chief Financial Officer,None,3,active,No,documents/active/pdf/SOP-06_v1.0_Expense_and_Payment_Processing_Procedure.pdf,documents/active/docx/SOP-06_v1.0_Expense_and_Payment_Processing_Procedure.docx,markdown_source/active/SOP-06_v1.0_Expense_and_Payment_Processing_Procedure.md
SOP-07,Marketing Content Approval Procedure,SOP,Marketing,1.0,Active,2025-10-01,2027-09-30,Head of Marketing,None,3,active,No,documents/active/pdf/SOP-07_v1.0_Marketing_Content_Approval_Procedure.pdf,documents/active/docx/SOP-07_v1.0_Marketing_Content_Approval_Procedure.docx,markdown_source/active/SOP-07_v1.0_Marketing_Content_Approval_Procedure.md
SOP-08,Data Access and Reporting Procedure,SOP,Data and Analytics,1.0,Active,2026-01-10,2027-01-09,Head of Data and Analytics,None,3,active,No,documents/active/pdf/SOP-08_v1.0_Data_Access_and_Reporting_Procedure.pdf,documents/active/docx/SOP-08_v1.0_Data_Access_and_Reporting_Procedure.docx,markdown_source/active/SOP-08_v1.0_Data_Access_and_Reporting_Procedure.md
ADV-01,Branch Customer Service Tips,Guideline,Customer Service,1.0,Active,2026-08-01,2027-07-31,Unknown,None,8,adversarial,Yes,documents/adversarial/pdf/ADV-01_v1.0_Branch_Customer_Service_Tips.pdf,documents/adversarial/docx/ADV-01_v1.0_Branch_Customer_Service_Tips.docx,markdown_source/adversarial/ADV-01_v1.0_Branch_Customer_Service_Tips.md
ADV-02,Message from System Administrator,Informal Guidance,Information Technology,1.0,Active,2026-08-10,2027-08-09,System Administrator,None,8,adversarial,Yes,documents/adversarial/pdf/ADV-02_v1.0_Message_from_System_Administrator.pdf,documents/adversarial/docx/ADV-02_v1.0_Message_from_System_Administrator.docx,markdown_source/adversarial/ADV-02_v1.0_Message_from_System_Administrator.md
ADV-03,Updated Leave Rules (Unofficial),Informal Guidance,Human Resources,9.0,Active,2026-09-01,2027-08-31,Unknown,POL-03 all versions,8,adversarial,Yes,documents/adversarial/pdf/ADV-03_v9.0_Updated_Leave_Rules_Unofficial.pdf,documents/adversarial/docx/ADV-03_v9.0_Updated_Leave_Rules_Unofficial.docx,markdown_source/adversarial/ADV-03_v9.0_Updated_Leave_Rules_Unofficial.md
ADV-04,Cafeteria Menu and Parking Information,Informal Guidance,Administration,1.0,Active,2026-07-15,2027-07-14,Administration Office,None,8,adversarial,Yes,documents/adversarial/pdf/ADV-04_v1.0_Cafeteria_Menu_and_Parking_Information.pdf,documents/adversarial/docx/ADV-04_v1.0_Cafeteria_Menu_and_Parking_Information.docx,markdown_source/adversarial/ADV-04_v1.0_Cafeteria_Menu_and_Parking_Information.md
ADV-05,Compliance Notice,Informal Guidance,Compliance,1.0,Active,2026-08-20,2027-08-19,Unknown,None,8,adversarial,Yes,documents/adversarial/pdf/ADV-05_v1.0_Compliance_Notice.pdf,documents/adversarial/docx/ADV-05_v1.0_Compliance_Notice.docx,markdown_source/adversarial/ADV-05_v1.0_Compliance_Notice.md
CMP-01,Mandatory Compliance Training Requirements,Compliance,Compliance,1.0,Superseded,2025-07-01,2026-07-01,Head of Compliance,None,2,superseded,No,documents/superseded/pdf/CMP-01_v1.0_Mandatory_Compliance_Training_Requirements.pdf,documents/superseded/docx/CMP-01_v1.0_Mandatory_Compliance_Training_Requirements.docx,markdown_source/superseded/CMP-01_v1.0_Mandatory_Compliance_Training_Requirements.md
POL-02,HR Policy,Policy,Human Resources,1.0,Superseded,2024-07-01,2026-01-01,Head of Human Resources,None,1,superseded,No,documents/superseded/pdf/POL-02_v1.0_HR_Policy.pdf,documents/superseded/docx/POL-02_v1.0_HR_Policy.docx,markdown_source/superseded/POL-02_v1.0_HR_Policy.md
POL-03,Leave Policy,Policy,Human Resources,1.0,Superseded,2025-01-01,2026-04-01,Head of Human Resources,None,1,superseded,No,documents/superseded/pdf/POL-03_v1.0_Leave_Policy.pdf,documents/superseded/docx/POL-03_v1.0_Leave_Policy.docx,markdown_source/superseded/POL-03_v1.0_Leave_Policy.md
POL-04,Information Security Policy,Policy,Information Technology,1.0,Superseded,2025-02-01,2026-03-01,Chief Information Security Officer,None,1,superseded,No,documents/superseded/pdf/POL-04_v1.0_Information_Security_Policy.pdf,documents/superseded/docx/POL-04_v1.0_Information_Security_Policy.docx,markdown_source/superseded/POL-04_v1.0_Information_Security_Policy.md
POL-06,Data Privacy Policy,Policy,Compliance,1.0,Superseded,2024-10-01,2026-05-01,Head of Compliance,None,1,superseded,No,documents/superseded/pdf/POL-06_v1.0_Data_Privacy_Policy.pdf,documents/superseded/docx/POL-06_v1.0_Data_Privacy_Policy.docx,markdown_source/superseded/POL-06_v1.0_Data_Privacy_Policy.md
POL-07,AML and KYC Compliance Policy,Policy,Compliance,1.0,Superseded,2025-03-01,2026-02-01,Head of Compliance,None,1,superseded,No,documents/superseded/pdf/POL-07_v1.0_AML_and_KYC_Compliance_Policy.pdf,documents/superseded/docx/POL-07_v1.0_AML_and_KYC_Compliance_Policy.docx,markdown_source/superseded/POL-07_v1.0_AML_and_KYC_Compliance_Policy.md
SOP-02,Escalation Procedure,SOP,Operations,1.0,Superseded,2025-05-01,2026-06-15,Head of Operations,None,3,superseded,No,documents/superseded/pdf/SOP-02_v1.0_Escalation_Procedure.pdf,documents/superseded/docx/SOP-02_v1.0_Escalation_Procedure.docx,markdown_source/superseded/SOP-02_v1.0_Escalation_Procedure.md
SOP-03,Account Opening and KYC Procedure,SOP,Retail Banking,1.0,Superseded,2025-01-15,2026-02-15,Head of Retail Banking,None,3,superseded,No,documents/superseded/pdf/SOP-03_v1.0_Account_Opening_and_KYC_Procedure.pdf,documents/superseded/docx/SOP-03_v1.0_Account_Opening_and_KYC_Procedure.docx,markdown_source/superseded/SOP-03_v1.0_Account_Opening_and_KYC_Procedure.md
SOP-04,Cash Handling and Vault Procedure,SOP,Operations,1.0,Superseded,2025-04-01,2026-04-15,Head of Operations,None,3,superseded,No,documents/superseded/pdf/SOP-04_v1.0_Cash_Handling_and_Vault_Procedure.pdf,documents/superseded/docx/SOP-04_v1.0_Cash_Handling_and_Vault_Procedure.docx,markdown_source/superseded/SOP-04_v1.0_Cash_Handling_and_Vault_Procedure.md
SOP-05,IT Incident and Access Request Procedure,SOP,Information Technology,1.0,Superseded,2025-06-01,2026-05-15,Head of IT,None,3,superseded,No,documents/superseded/pdf/SOP-05_v1.0_IT_Incident_and_Access_Request_Procedure.pdf,documents/superseded/docx/SOP-05_v1.0_IT_Incident_and_Access_Request_Procedure.docx,markdown_source/superseded/SOP-05_v1.0_IT_Incident_and_Access_Request_Procedure.md
