requirement_id,document_id,document_title,document_version,document_category,section_id,section_heading,requirement_text,obligation,requirement_type,applicable_roles,role_scope,competency,priority,due_stage,assessment_requirement,prerequisite,precedence_level,conflict_status,duplicate_of,include_in_active_matrix
POL-01-5.3,POL-01,Employee Handbook,1.0,Handbook,5.3,Use of Bank Resources,Employees must return all bank property on their last working day.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Use of Bank Resources,Medium,Week 1,Knowledge Quiz,,4,,,Yes
POL-02-2.2,POL-02,HR Policy,2.0,Policy,2.2,Probation,Employees must complete all mandatory onboarding modules before the end of probation.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Probation,Medium,First 90 Days,Knowledge Quiz,,1,Prevails over FAQ-01-8.1,,Yes
POL-02-2.4,POL-02,HR Policy,2.0,Policy,2.4,Probation,Employees must complete a probation review meeting with their reporting manager within 90 days of joining.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Probation,Medium,First 90 Days,Knowledge Quiz,,1,,,Yes
POL-02-3.2,POL-02,HR Policy,2.0,Policy,3.2,Working Hours,Employees must obtain prior approval from their reporting manager for any overtime.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Working Hours,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-02-4.1,POL-02,HR Policy,2.0,Policy,4.1,Performance Management,Employees must agree written performance objectives with their reporting manager within 30 days of joining.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Performance Management,Medium,First 30 Days,Knowledge Quiz,,1,,,Yes
POL-02-4.2,POL-02,HR Policy,2.0,Policy,4.2,Performance Management,Employees should request informal feedback from their reporting manager every month.,Recommended,Recommended,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Performance Management,Low,Week 1,None,,1,,,Yes
POL-02-5.1,POL-02,HR Policy,2.0,Policy,5.1,HR Operations,HR Executives must verify the educational certificates of every new joiner within 14 calendar days of the new joiner's start date.,Mandatory,Must Know,HR Executive,Role-Specific,HR Operations,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-02-5.2,POL-02,HR Policy,2.0,Policy,5.2,HR Operations,HR Executives must maintain employee records only in the HR Information System and must not store personnel files on personal devices.,Mandatory,Must Know,HR Executive,Role-Specific,HR Operations,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-02-5.3,POL-02,HR Policy,2.0,Policy,5.3,HR Operations,HR Executives must complete the HR Information System training within the first week of joining.,Mandatory,Must Complete,HR Executive,Role-Specific,HR Operations,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-02-5.4,POL-02,HR Policy,2.0,Policy,5.4,HR Operations,HR Executives should conduct an exit interview with every resigning employee.,Recommended,Recommended,HR Executive,Role-Specific,HR Operations,Low,Week 1,None,,1,,,Yes
POL-02-6.1,POL-02,HR Policy,2.0,Policy,6.1,Team Supervision,Supervisors must approve or reject leave requests within 2 working days.,Mandatory,Must Know,Team Leader; Branch Manager,Role-Specific,Team Supervision,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-02-6.2,POL-02,HR Policy,2.0,Policy,6.2,Team Supervision,Supervisors must conduct a monthly one-to-one meeting with each team member.,Mandatory,Must Know,Team Leader; Branch Manager,Role-Specific,Team Supervision,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-02-6.3,POL-02,HR Policy,2.0,Policy,6.3,Team Supervision,Supervisors must complete the People Management Essentials module within 30 days of joining.,Mandatory,Must Complete,Team Leader; Branch Manager,Role-Specific,Team Supervision,Medium,First 30 Days,Knowledge Quiz,,1,,,Yes
POL-03-2.2,POL-03,Leave Policy,2.0,Policy,2.2,Annual Leave,Employees must apply for annual leave at least 14 days in advance through the HR portal.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Annual Leave,Medium,Week 1,Knowledge Quiz,,1,Prevails over FAQ-01-2.1,,Yes
POL-03-2.3,POL-03,Leave Policy,2.0,Policy,2.3,Annual Leave,Employees must not take more than 10 consecutive working days of annual leave without Department Head approval.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Annual Leave,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-03-2.4,POL-03,Leave Policy,2.0,Policy,2.4,Annual Leave,Unused annual leave may be carried forward up to a maximum of 10 days.,Optional,Optional,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Annual Leave,Low,Week 1,None,,1,,,Yes
POL-03-3.1,POL-03,Leave Policy,2.0,Policy,3.1,Sick Leave,Employees must inform their reporting manager before 10:00 AM on any day they cannot come to work due to sickness.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Sick Leave,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-03-3.2,POL-03,Leave Policy,2.0,Policy,3.2,Sick Leave,Sick leave of more than 2 consecutive days must be supported by a medical certificate.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Sick Leave,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-03-4.1,POL-03,Leave Policy,2.0,Policy,4.1,Mandatory Leave,Staff in these roles must take at least 5 consecutive working days of leave each year as a fraud-control measure.,Mandatory,Must Know,Cash Teller; Branch Manager; Operations Coordinator,Role-Specific,Mandatory Leave,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-03-4.2,POL-03,Leave Policy,2.0,Policy,4.2,Mandatory Leave,"During mandatory leave, the duties of the employee must be performed by another authorised staff member.",Mandatory,Must Know,Cash Teller; Branch Manager; Operations Coordinator,Role-Specific,Mandatory Leave,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-03-5.1,POL-03,Leave Policy,2.0,Policy,5.1,Leave Approval,Approvers must check team coverage before approving overlapping leave requests.,Mandatory,Must Know,Team Leader; Branch Manager,Role-Specific,Leave Approval,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-03-5.2,POL-03,Leave Policy,2.0,Policy,5.2,Leave Approval,Approvers should avoid approving leave for more than 30% of a team at the same time.,Recommended,Recommended,Team Leader; Branch Manager,Role-Specific,Leave Approval,Low,Week 1,None,,1,,,Yes
POL-03-6.1,POL-03,Leave Policy,2.0,Policy,6.1,Related Guidance,"Employees may refer to the HR and Leave FAQ (FAQ-01) for common questions; where the FAQ differs from this policy, this policy prevails.",Optional,Optional,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Related Guidance,Low,Week 1,None,,1,,,Yes
POL-04-2.1,POL-04,Information Security Policy,2.0,Policy,2.1,Security Awareness,All employees must complete the Information Security Basics module within the first week of joining.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Security Awareness,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-2.2,POL-04,Information Security Policy,2.0,Policy,2.2,Security Awareness,All employees must sign the Acceptable Use acknowledgement on Day 1.,Mandatory,Must Acknowledge,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Security Awareness,High,Day 1,Signed Acknowledgement,,1,,,Yes
POL-04-2.3,POL-04,Information Security Policy,2.0,Policy,2.3,Security Awareness,Employees must report any suspected security incident to the IT Service Desk within 1 hour of noticing it.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Security Awareness,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-3.1,POL-04,Information Security Policy,2.0,Policy,3.1,Passwords and Access,"Passwords must be at least 12 characters long and include upper-case letters, numbers and symbols.",Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Passwords and Access,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-3.2,POL-04,Information Security Policy,2.0,Policy,3.2,Passwords and Access,Employees must change their passwords every 60 days.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Passwords and Access,High,Week 1,Knowledge Quiz,,1,Prevails over FAQ-02-1.1,,Yes
POL-04-3.3,POL-04,Information Security Policy,2.0,Policy,3.3,Passwords and Access,"Employees must not share their passwords or access cards with anyone, including colleagues and managers.",Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Passwords and Access,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-3.4,POL-04,Information Security Policy,2.0,Policy,3.4,Passwords and Access,Employees must enable multi-factor authentication on their email account within the first week of joining.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Passwords and Access,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-4.1,POL-04,Information Security Policy,2.0,Policy,4.1,Devices and Removable Media,Personal USB drives and external storage devices must not be connected to bank computers.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Devices and Removable Media,High,Week 1,Knowledge Quiz,,1,Prevails over FAQ-02-2.1,,Yes
POL-04-4.2,POL-04,Information Security Policy,2.0,Policy,4.2,Devices and Removable Media,Employees must lock their screen whenever they leave their desk.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Devices and Removable Media,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-4.3,POL-04,Information Security Policy,2.0,Policy,4.3,Devices and Removable Media,Employees should store work files only on the approved network drive.,Recommended,Recommended,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Devices and Removable Media,Low,Week 1,None,,1,,,Yes
POL-04-5.1,POL-04,Information Security Policy,2.0,Policy,5.1,Email and Phishing,Employees must report suspicious emails using the Report Phishing button in Outlook.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Email and Phishing,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-5.2,POL-04,Information Security Policy,2.0,Policy,5.2,Email and Phishing,Employees must not open attachments from unknown senders.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Email and Phishing,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-6.1,POL-04,Information Security Policy,2.0,Policy,6.1,Privileged Access,IT Support Engineers must use separate administrator accounts for privileged tasks.,Mandatory,Must Know,IT Support Engineer,Role-Specific,Privileged Access,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-6.2,POL-04,Information Security Policy,2.0,Policy,6.2,Privileged Access,IT Support Engineers must remove the system access of leavers within 24 hours of receiving an HR exit notice.,Mandatory,Must Know,IT Support Engineer,Role-Specific,Privileged Access,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-04-6.3,POL-04,Information Security Policy,2.0,Policy,6.3,Privileged Access,IT Support Engineers must demonstrate the secure device-setup checklist within 30 days of joining.,Mandatory,Must Demonstrate,IT Support Engineer,Role-Specific,Privileged Access,High,First 30 Days,Practical Assessment,POL-04-2.1,1,,,Yes
POL-05-2.1,POL-05,Workplace Conduct Policy,1.0,Policy,2.1,Professional Behaviour,Employees must treat customers and colleagues with respect and courtesy.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Professional Behaviour,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-05-2.2,POL-05,Workplace Conduct Policy,1.0,Policy,2.2,Professional Behaviour,"Employees must not accept gifts worth more than PKR 5,000 from customers or vendors.",Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Professional Behaviour,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-05-2.3,POL-05,Workplace Conduct Policy,1.0,Policy,2.3,Professional Behaviour,Employees must declare every gift received in the Gift Register within 3 working days.,Mandatory,Must Acknowledge,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Professional Behaviour,Medium,Week 1,Signed Acknowledgement,,1,,,Yes
POL-05-2.4,POL-05,Workplace Conduct Policy,1.0,Policy,2.4,Professional Behaviour,Employees must acknowledge the Code of Conduct on Day 1.,Mandatory,Must Acknowledge,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Professional Behaviour,High,Day 1,Signed Acknowledgement,,1,,,Yes
POL-05-3.1,POL-05,Workplace Conduct Policy,1.0,Policy,3.1,Harassment and Discrimination,Employees must not engage in any form of harassment or discrimination.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Harassment and Discrimination,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-05-3.2,POL-05,Workplace Conduct Policy,1.0,Policy,3.2,Harassment and Discrimination,Employees should report harassment to HR or through the confidential helpline.,Recommended,Recommended,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Harassment and Discrimination,Low,Week 1,None,,1,,,Yes
POL-05-3.3,POL-05,Workplace Conduct Policy,1.0,Policy,3.3,Harassment and Discrimination,All employees must complete the Anti-Harassment Awareness module within 30 days of joining.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Harassment and Discrimination,Medium,First 30 Days,Knowledge Quiz,,1,,,Yes
POL-05-4.1,POL-05,Workplace Conduct Policy,1.0,Policy,4.1,Conflict of Interest,Employees must declare any conflict of interest to HR within the first week of joining.,Mandatory,Must Acknowledge,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Conflict of Interest,Medium,Week 1,Signed Acknowledgement,,1,,,Yes
POL-05-4.2,POL-05,Workplace Conduct Policy,1.0,Policy,4.2,Conflict of Interest,Employees may undertake outside part-time work only with written approval from HR.,Optional,Optional,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Conflict of Interest,Low,Week 1,None,,1,,,Yes
POL-05-5.1,POL-05,Workplace Conduct Policy,1.0,Policy,5.1,Social Media,Employees must not post confidential bank information on social media.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Social Media,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-05-5.2,POL-05,Workplace Conduct Policy,1.0,Policy,5.2,Social Media,Marketing Executives must use only the approved bank accounts when posting official content.,Mandatory,Must Know,Marketing Executive,Role-Specific,Social Media,Medium,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-2.1,POL-06,Data Privacy Policy,2.0,Policy,2.1,Personal Data Handling,Employees must access customer personal data only when it is required for their assigned duties.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Personal Data Handling,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-2.2,POL-06,Data Privacy Policy,2.0,Policy,2.2,Personal Data Handling,Employees must complete the Data Privacy Essentials module within 14 days of joining.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Personal Data Handling,High,Week 2,Knowledge Quiz,POL-04-2.1,1,,,Yes
POL-06-2.3,POL-06,Data Privacy Policy,2.0,Policy,2.3,Personal Data Handling,Customer data must not be sent to personal email addresses or messaging apps.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Personal Data Handling,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-3.1,POL-06,Data Privacy Policy,2.0,Policy,3.1,Customer-Facing Staff,Customer-facing staff must verify the identity of the customer using at least two identifiers before sharing account information.,Mandatory,Must Know,Customer Service Officer; Sales Executive; Cash Teller; Branch Manager,Role-Specific,Customer-Facing Staff,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-3.2,POL-06,Data Privacy Policy,2.0,Policy,3.2,Customer-Facing Staff,Customer-facing staff must not write customer account numbers on paper notes.,Mandatory,Must Know,Customer Service Officer; Sales Executive; Cash Teller; Branch Manager,Role-Specific,Customer-Facing Staff,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-3.3,POL-06,Data Privacy Policy,2.0,Policy,3.3,Customer-Facing Staff,Customer-facing staff should use the screen privacy filter provided at the counter.,Recommended,Recommended,Customer Service Officer; Sales Executive; Cash Teller; Branch Manager,Role-Specific,Customer-Facing Staff,Low,Week 1,None,,1,,,Yes
POL-06-4.1,POL-06,Data Privacy Policy,2.0,Policy,4.1,Data Retention,Customer transaction records must be retained for 10 years from the date of account closure.,Mandatory,Must Know,Compliance Officer; Operations Coordinator; Data Analyst,Role-Specific,Data Retention,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-4.2,POL-06,Data Privacy Policy,2.0,Policy,4.2,Data Retention,Records past their retention period must be destroyed using the approved secure disposal process.,Mandatory,Must Know,Compliance Officer; Operations Coordinator; Data Analyst,Role-Specific,Data Retention,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-5.1,POL-06,Data Privacy Policy,2.0,Policy,5.1,Data Breach,Any suspected data breach must be reported to the Compliance Officer within 2 hours.,Mandatory,Must Know,Branch Manager; Customer Service Officer; Sales Executive; HR Executive; Finance Associate; Operations Coordinator; IT Support Engineer; Compliance Officer; Marketing Executive; Data Analyst; Cash Teller; Team Leader,All Roles,Data Breach,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-5.2,POL-06,Data Privacy Policy,2.0,Policy,5.2,Data Breach,Compliance Officers must notify the regulator of a confirmed breach within 72 hours.,Mandatory,Must Know,Compliance Officer,Role-Specific,Data Breach,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-6.1,POL-06,Data Privacy Policy,2.0,Policy,6.1,Analytics,Data Analysts must use anonymised or masked data sets for analysis and reporting.,Mandatory,Must Know,Data Analyst,Role-Specific,Analytics,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-6.2,POL-06,Data Privacy Policy,2.0,Policy,6.2,Analytics,Data Analysts must not export customer-level data outside the analytics environment.,Mandatory,Must Know,Data Analyst,Role-Specific,Analytics,High,Week 1,Knowledge Quiz,,1,,,Yes
POL-06-6.3,POL-06,Data Privacy Policy,2.0,Policy,6.3,Analytics,Data Analysts may use aggregated data in presentations without further approval.,Optional,Optional,Data Analyst,Role-Specific,Analytics,Low,Week 1,None,,1,,,Yes
POL-07-2.1,POL-07,AML and KYC Compliance Policy,2.0,Policy,2.1,AML Training,Staff in scope must complete the AML and KYC Fundamentals module within 14 days of joining.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; Cash Teller; Compliance Officer; Operations Coordinator,Role-Specific,AML Training,High,Week 2,Knowledge Quiz,,1,Prevails over CMP-01-3.1,,Yes
POL-07-2.2,POL-07,AML and KYC Compliance Policy,2.0,Policy,2.2,AML Training,Staff in scope must pass the AML assessment with a minimum score of 80%.,Mandatory,Must Complete,Branch Manager; Customer Service Officer; Sales Executive; Cash Teller; Compliance Officer; Operations Coordinator,Role-Specific,AML Training,High,Week 1,Knowledge Quiz,,1,,,Yes
